state,race_eth,year,demVote,repVote,pop,turnout
Colorado,White,2004,0.441448311116013,0.546550943582547,2468413,0.730629784914558
Colorado,White,2012,0.46226555068491,0.513504445336737,2854029,0.721606205623998
Connecticut,Black,2004,0.873077863376138,0.107165556289539,187510,0.575260437220592
Connecticut,Black,2012,0.9643377595508,0.0275172838048502,224664,0.636727979425935
Connecticut,Hispanic,2004,0.604945157026101,0.370821767576072,182623,0.486228886734703
Connecticut,Hispanic,2012,0.724378116442753,0.260253810844393,264962,0.473054483623242
Connecticut,Other,2004,0.553261037015666,0.412561244833431,62328,0.519268744784123
Connecticut,Other,2012,0.657566623878244,0.325314717124576,99269,0.45260009964185
Connecticut,White,2004,0.51246026011513,0.471191455187731,1929294,0.699603250789928
Connecticut,White,2012,0.519255328766169,0.468603051596254,1972702,0.63145499162468
Delaware,Black,2004,0.887947104985929,0.102161416805751,103801,0.58967408005914
Delaware,Black,2012,0.968427230921622,0.0217297730921265,136231,0.656957759119546
Delaware,Hispanic,2004,0.637314959965597,0.351623889297139,18055,0.494161799329473
Delaware,Hispanic,2012,0.733460336858685,0.246947176281082,30286,0.508036171213068
Delaware,Other,2004,0.601501102283723,0.385897634282448,15334,0.522997434345317
Delaware,Other,2012,0.702326136527137,0.27818176346082,27900,0.464010210228617
Delaware,White,2004,0.455344903282184,0.535726673311148,444814,0.667963478969116
Delaware,White,2012,0.457745358254402,0.527332623075009,480556,0.616141967259478
District of Columbia,Black,2004,0.930733878417837,0.0527357815844531,210707,0.553146825733187
District of Columbia,Black,2012,0.986692608016762,0.00230754583054826,232568,0.621496367961222
District of Columbia,Hispanic,2004,0.87917418725418,0.104177418061764,17075,0.529178077026487
District of Columbia,Hispanic,2012,0.922590565148745,0.0531033948060074,25973,0.515757864548222
District of Columbia,Other,2004,0.873330304315471,0.102463311214164,15039,0.515955294564957
District of Columbia,Other,2012,0.9115713071132,0.0586794709370047,24786,0.442185809205089
District of Columbia,White,2004,0.846472500401997,0.141907047071741,124879,0.754641889096226
District of Columbia,White,2012,0.817692273726753,0.157710316951444,189202,0.659972073254411
Florida,Black,2004,0.859450094331797,0.131779209826771,1443146,0.61981129892731
Florida,Black,2012,0.957267255453123,0.034960566778129,1911087,0.6550182388976
Florida,Hispanic,2004,0.471457949278709,0.519359863050087,1504430,0.556934205942305
Florida,Hispanic,2012,0.580066284368993,0.407284072915509,2327609,0.564937150984118
Florida,Other,2004,0.450225791636359,0.538669903249772,299005,0.533887434240018
Florida,Other,2012,0.609602871175028,0.375043997102005,476735,0.550273487697601
Florida,White,2004,0.410626717565448,0.581602377684488,8312060,0.687895450997392
Florida,White,2012,0.373783900490901,0.615518500942841,8924842,0.634531202483385
Georgia,Black,2004,0.879388621903215,0.112771812762944,1623400,0.548807371406725
Georgia,Black,2012,0.932530974762074,0.0572767628985521,2118193,0.600665780171935
Georgia,Hispanic,2004,0.457991959692891,0.534039965524442,117529,0.454633953927895
Georgia,Hispanic,2012,0.553694450312762,0.426672716112511,274293,0.409337904266766
Georgia,Other,2004,0.416109517758376,0.574496819495789,159070,0.442054973869431
Georgia,Other,2012,0.467897967171501,0.510905894293103,247044,0.470806904529586
Georgia,White,2004,0.230998792363046,0.762010557586634,3896788,0.587611324062454
Georgia,White,2012,0.195540289235949,0.788585494720268,4255952,0.565667660067699
Hawaii,Black,2004,0.87323665692623,0.12047686930282,14579,0.537629203734206
Hawaii,Black,2012,0.97136133359482,0.0157914346093544,19012,0.445101998928647
Hawaii,Hispanic,2004,0.60189326081398,0.391227342533364,53442,0.446555700596973
Hawaii,Hispanic,2012,0.79367617373216,0.18736392099552,78485,0.387800617314847
Hawaii,Other,2004,0.545839842380633,0.445816253324565,555919,0.44649655007695
Hawaii,Other,2012,0.719954944434742,0.26370323129849,624300,0.39581137726699
Hawaii,White,2004,0.503126825891637,0.491309841393961,224607,0.663800141293182
Hawaii,White,2012,0.648159139294503,0.336372344278242,267084,0.556728021030902
Idaho,Black,2004,0.828429510467327,0.159134059022589,2666,0.558990827864852
Idaho,Black,2012,0.81357301368513,0.157355314709966,4776,0.567969165893233
Idaho,Hispanic,2004,0.487259014984956,0.494559906820634,38015,0.447111282603276
Idaho,Hispanic,2012,0.541374848359859,0.414504971105874,72634,0.427996968654455
Idaho,Other,2004,0.350050541533255,0.62548376814322,29479,0.481369821623337
Idaho,Other,2012,0.436946039660976,0.518981882526012,42883,0.452261211892228
Idaho,White,2004,0.2944912828378,0.692359778793518,870414,0.650000453116037
Idaho,White,2012,0.306978144809351,0.65866033966495,999276,0.603985215261308
Illinois,Black,2004,0.895477870262399,0.0968887267951913,1200014,0.589143014197914
Illinois,Black,2012,0.963420083855654,0.0247716583806176,1326568,0.613942537901107
Illinois,Hispanic,2004,0.639869467241817,0.351816306402561,656020,0.460166652285991
Illinois,Hispanic,2012,0.708894234392731,0.267276314023089,845858,0.385298839190898
Illinois,Other,2004,0.587178492763378,0.404373226091364,293197,0.525319094161476
Illinois,Other,2012,0.663004846049581,0.312782660539616,427398,0.537294895187668
Illinois,White,2004,0.480333689439839,0.512948902219169,6165015,0.666898884866973
Illinois,White,2012,0.477033626458913,0.503963007962897,6329855,0.613197080639581
Indiana,Black,2004,0.873400477234214,0.118033726221596,325252,0.541785267777459
Indiana,Black,2012,0.934716626819135,0.0515719906615638,410452,0.591186380748039
Indiana,Hispanic,2004,0.474276731002705,0.516445149584579,86678,0.409143618010323
Indiana,Hispanic,2012,0.584167243323359,0.389068450343662,155557,0.373510125722225
Indiana,Other,2004,0.428983688176958,0.559629740464764,78586,0.410089443137354
Indiana,Other,2012,0.553091131319433,0.417729854484281,105187,0.468009613415154
Indiana,White,2004,0.352709249104331,0.63949091584037,3829297,0.580810059381201
Indiana,White,2012,0.379427584410714,0.598814234546285,4098743,0.557038762090452
Iowa,Black,2004,0.897880861234751,0.0924827436017747,39383,0.631992055212497
Iowa,Black,2012,0.955298795016688,0.0319135457792842,57240,0.67040060645925
Iowa,Hispanic,2004,0.606073820465365,0.383454218263658,47949,0.522458325187198
Iowa,Hispanic,2012,0.716841499793266,0.259562165334424,60597,0.60642730849533
Iowa,Other,2004,0.604126825086497,0.383021184000793,32901,0.524523545583823
Iowa,Other,2012,0.64119680585342,0.33174245065995,50348,0.573885541469254
Iowa,White,2004,0.482000953828131,0.509435496457208,2008208,0.716912567870135
Iowa,White,2012,0.501308599684616,0.480507168907851,2111269,0.700130870903684
Kansas,Black,2004,0.860814430755692,0.123926230129282,83535,0.573065843942402
Kansas,Black,2012,0.897604846564423,0.0867824887682415,113390,0.589500490246701
Kansas,Hispanic,2004,0.529898621231085,0.452499086794866,64496,0.459787843038782
Kansas,Hispanic,2012,0.564150598155873,0.405096138543177,123109,0.349907444192073
Kansas,Other,2004,0.414650480481123,0.559780709572835,73643,0.44323191690073
Kansas,Other,2012,0.488912303840676,0.477714944965258,89346,0.450421654861316
Kansas,White,2004,0.338288790077137,0.648515143504233,1678327,0.642061731879264
Kansas,White,2012,0.333474551569492,0.642598142375376,1734022,0.580943270090231
Kentucky,Black,2004,0.867803299356672,0.123930557866317,190569,0.604726263075806
Kentucky,Black,2012,0.925751797858758,0.0626958293667969,248981,0.607912281780583
Kentucky,Hispanic,2004,0.48738683195457,0.503978381071145,22095,0.487648503110104
Kentucky,Hispanic,2012,0.58838023024125,0.390569548972184,51207,0.449756810804274
Kentucky,Other,2004,0.410702611534192,0.578662411316429,41937,0.494558209421655
Kentucky,Other,2012,0.582362018141394,0.393532962272475,61135,0.456555877936963
Kentucky,White,2004,0.363152885787052,0.629182883945147,2744615,0.600930199120808
Kentucky,White,2012,0.319251121217279,0.662837621041988,2929559,0.544705586403662
Louisiana,Black,2004,0.863372822214,0.12509744018831,948185,0.58962671430065
Louisiana,Black,2012,0.926402523082641,0.0620410119721992,1051440,0.614703193803262
