fips,X,race_eth,edu5,age4,SEX,Freq,sex,state,postal,GESTCEN,census.region,nate.subregion,nate.region
2,7091,White,somecol,3,2,27524,Female,Alaska,AK,94,west,interior,west
2,7295,White,col,4,2,4001,Female,Alaska,AK,94,west,interior,west
2,4031,White,somecol,4,1,7082,Male,Alaska,AK,94,west,interior,west
2,5204,Other,col,2,2,1627,Female,Alaska,AK,94,west,interior,west
2,512,Other,nohs,1,1,2879,Male,Alaska,AK,94,west,interior,west
2,3062,Black,col,4,1,0,Male,Alaska,AK,94,west,interior,west
2,6989,Hispanic,somecol,3,2,1478,Female,Alaska,AK,94,west,interior,west
2,920,Other,somecol,1,1,6011,Male,Alaska,AK,94,west,interior,west
2,3470,Black,nohs,4,1,0,Male,Alaska,AK,94,west,interior,west
2,6020,Other,somecol,2,2,5398,Female,Alaska,AK,94,west,interior,west
2,6224,Other,col,3,2,2847,Female,Alaska,AK,94,west,interior,west
2,155,White,col,1,1,2229,Male,Alaska,AK,94,west,interior,west
2,2195,White,col,3,1,17382,Male,Alaska,AK,94,west,interior,west
2,4082,Black,col,1,2,0,Female,Alaska,AK,94,west,interior,west
2,1481,Hispanic,nohs,2,1,32,Male,Alaska,AK,94,west,interior,west
2,1940,Other,somecol,2,1,6040,Male,Alaska,AK,94,west,interior,west
2,3317,Hispanic,hs,4,1,64,Male,Alaska,AK,94,west,interior,west
2,5867,White,postgrad,2,2,7196,Female,Alaska,AK,94,west,interior,west
2,2348,Other,hs,3,1,7656,Male,Alaska,AK,94,west,interior,west
2,1175,White,col,2,1,9135,Male,Alaska,AK,94,west,interior,west
2,7448,Other,hs,4,2,1467,Female,Alaska,AK,94,west,interior,west
2,6275,White,col,3,2,13472,Female,Alaska,AK,94,west,interior,west
2,206,Black,hs,1,1,1879,Male,Alaska,AK,94,west,interior,west
2,4133,Hispanic,col,1,2,100,Female,Alaska,AK,94,west,interior,west
2,6683,White,nohs,3,2,1679,Female,Alaska,AK,94,west,interior,west
2,1991,White,somecol,2,1,21383,Male,Alaska,AK,94,west,interior,west
2,4541,Hispanic,nohs,1,2,434,Female,Alaska,AK,94,west,interior,west
2,3368,Other,hs,4,1,1755,Male,Alaska,AK,94,west,interior,west
2,5918,Black,somecol,2,2,1096,Female,Alaska,AK,94,west,interior,west
2,1022,Black,col,2,1,864,Male,Alaska,AK,94,west,interior,west
2,4949,Hispanic,somecol,1,2,2590,Female,Alaska,AK,94,west,interior,west
2,7499,White,hs,4,2,5539,Female,Alaska,AK,94,west,interior,west
2,5153,Hispanic,col,2,2,1419,Female,Alaska,AK,94,west,interior,west
2,1634,Black,postgrad,2,1,0,Male,Alaska,AK,94,west,interior,west
2,4388,Other,hs,1,2,8523,Female,Alaska,AK,94,west,interior,west
2,5357,Hispanic,hs,2,2,158,Female,Alaska,AK,94,west,interior,west
